,worldwide_gross_income_currency,worldwide_gross_income,usa_gross_income_currency,usa_gross_income,budget_currency,budget
0,USD,30 ,USD,30 ,USD,2000000 
1,,,USD,64 ,,
2,USD,646175 ,USD,72 ,,
3,USD,146155 ,USD,74 ,EUR,4000000
4,USD,78 ,USD,78 ,,
5,USD,80 ,USD,80 ,,
6,USD,95 ,USD,95 ,USD,4000000 
7,USD,120 ,USD,120 ,EUR,1800000
8,USD,15419 ,USD,147 ,USD,2000000 
9,,,USD,150 ,,
10,USD,211 ,USD,211 ,,
11,USD,14394690 ,USD,220 ,,
12,,,USD,228 ,,
13,USD,349183 ,USD,252 ,,
14,USD,57587 ,USD,264 ,USD,1600000 
15,USD,5681 ,USD,279 ,,
16,USD,1581125 ,USD,287 ,,
17,USD,309 ,USD,309 ,USD,15000000 
18,USD,78132 ,USD,310 ,,
19,USD,71918 ,USD,315 ,,
20,USD,2429573 ,USD,336 ,USD,9000000 
21,USD,443812 ,USD,383 ,,
22,USD,398 ,USD,398 ,,
23,USD,18624 ,USD,406 ,,
24,USD,421 ,USD,421 ,,
25,USD,3945729 ,USD,422 ,,
26,USD,423 ,USD,423 ,CAD,500000
27,USD,440 ,USD,440 ,,
28,USD,43471 ,USD,451 ,,
29,USD,455 ,USD,455 ,,
30,USD,470 ,USD,470 ,USD,1200000 
31,USD,504 ,USD,504 ,,
32,USD,25484 ,USD,509 ,EUR,2000000
33,USD,509 ,USD,509 ,USD,1500000 
34,USD,509 ,USD,509 ,USD,350000 
35,USD,127244 ,USD,509 ,,
36,USD,446908 ,USD,509 ,,
37,USD,13118 ,USD,509 ,,
38,USD,509 ,USD,509 ,,
39,USD,509 ,USD,509 ,,
40,USD,509 ,USD,509 ,,
41,USD,509 ,USD,509 ,,
42,USD,509 ,USD,509 ,,
43,USD,509 ,USD,509 ,,
44,USD,509 ,USD,509 ,,
45,USD,509 ,USD,509 ,,
46,USD,590955 ,USD,518 ,USD,2000000 
47,USD,525 ,USD,525 ,,
48,USD,528 ,USD,528 ,,
49,USD,8750678 ,USD,543 ,,
50,,,USD,553 ,,
51,USD,560 ,USD,560 ,CAD,1000000
52,USD,594 ,USD,594 ,CAD,11000000
53,USD,41575 ,USD,607 ,EUR,3800000
54,USD,171511 ,USD,607 ,USD,25000000 
55,USD,5152549 ,USD,623 ,,
56,USD,624 ,USD,624 ,EUR,750000
57,USD,625 ,USD,625 ,USD,5000000 
58,USD,2590 ,USD,641 ,,
59,USD,646 ,USD,646 ,,
60,USD,290108 ,USD,651 ,,
61,USD,663 ,USD,663 ,USD,2500000 
62,USD,53780 ,USD,675 ,,
63,USD,262412 ,USD,677 ,,
64,USD,694509 ,USD,689 ,,
65,USD,712216 ,USD,704 ,,
66,USD,713 ,USD,713 ,,
67,USD,257814 ,USD,724 ,,
68,USD,737 ,USD,737 ,,
69,USD,7701908 ,USD,742 ,,
70,USD,117754 ,USD,759 ,GBP,2500000
71,USD,5411932 ,USD,761 ,,
72,USD,762 ,USD,762 ,,
73,USD,778 ,USD,778 ,,
74,USD,790 ,USD,790 ,,
75,USD,1060806 ,USD,806 ,,
76,USD,678604 ,USD,809 ,,
77,USD,3418213 ,USD,815 ,EUR,5100000
78,USD,51059 ,USD,820 ,USD,3300000 
79,USD,167938 ,USD,828 ,,
80,USD,829 ,USD,829 ,USD,50000 
81,USD,831 ,USD,831 ,,
82,USD,2037 ,USD,832 ,,
83,USD,4915757 ,USD,837 ,EUR,3000000
84,USD,7385679 ,USD,848 ,USD,15500000 
85,USD,99080 ,USD,850 ,,
86,USD,850 ,USD,850 ,,
87,USD,856 ,USD,856 ,USD,170000 
88,USD,1562139 ,USD,866 ,,
89,USD,881 ,USD,881 ,,
90,USD,884 ,USD,884 ,USD,1000000 
91,USD,376522 ,USD,889 ,,
92,USD,15230550 ,USD,894 ,,
93,,,USD,898 ,,
94,USD,899 ,USD,899 ,USD,2000000 
95,USD,904 ,USD,904 ,USD,300000 
96,USD,474752 ,USD,935 ,EUR,1200000
97,USD,1251642 ,USD,943 ,,
98,USD,2697522 ,USD,954 ,,
99,USD,957 ,USD,957 ,AUD,810000
100,,,USD,967 ,,
101,USD,967 ,USD,967 ,,
102,USD,973 ,USD,973 ,,
103,USD,278388 ,USD,1000 ,EUR,1500000
104,USD,1000 ,USD,1000 ,USD,1500000 
105,USD,1006 ,USD,1006 ,,
106,USD,1022 ,USD,1022 ,,
107,,,USD,1027 ,,
108,USD,27187375 ,USD,1029 ,USD,20000000 
109,USD,1031 ,USD,1031 ,,
110,,,USD,1055 ,,
111,USD,708757 ,USD,1055 ,,
112,USD,189739 ,USD,1061 ,USD,15000000 
113,USD,15033 ,USD,1067 ,,
114,,,USD,1076 ,,
115,USD,1081 ,USD,1081 ,,
116,USD,26324 ,USD,1081 ,,
117,USD,3387582 ,USD,1092 ,EUR,18000000
118,USD,39663 ,USD,1100 ,USD,2000000 
119,USD,318123 ,USD,1126 ,,
120,USD,1142 ,USD,1142 ,,
121,,,USD,1167 ,,
122,USD,3128 ,USD,1190 ,,
123,,,USD,1220 ,,
124,USD,17770558 ,USD,1237 ,EUR,6000000
125,USD,1237 ,USD,1237 ,,
126,USD,29361 ,USD,1238 ,,
127,USD,595268 ,USD,1242 ,USD,9000000 
128,USD,1259 ,USD,1259 ,,
129,USD,1273 ,USD,1273 ,,
130,USD,51138 ,USD,1279 ,,
131,USD,3540754 ,USD,1286 ,,
132,USD,1297 ,USD,1297 ,,
133,USD,1303 ,USD,1303 ,USD,1000000 
134,USD,2421577 ,USD,1305 ,,
135,USD,1257937 ,USD,1319 ,,
136,USD,1332 ,USD,1332 ,,
137,USD,1344 ,USD,1344 ,,
138,USD,2713955 ,USD,1349 ,USD,15000000 
139,USD,237435 ,USD,1350 ,,
140,USD,4586 ,USD,1352 ,USD,250000 
141,USD,1620637 ,USD,1359 ,,
142,USD,91297 ,USD,1365 ,SGD,200000
143,USD,1368 ,USD,1368 ,,
144,USD,3721345 ,USD,1369 ,NOK,38500000
145,USD,115511 ,USD,1373 ,,
146,USD,12294931 ,USD,1377 ,EUR,8000000
147,USD,1377 ,USD,1377 ,,
148,,,USD,1392 ,,
149,USD,1400 ,USD,1400 ,,
150,USD,1403 ,USD,1403 ,USD,1000000 
151,USD,1410 ,USD,1410 ,,
152,USD,1416 ,USD,1416 ,,
153,USD,87768 ,USD,1430 ,,
154,USD,1435 ,USD,1435 ,INR,40000000
155,USD,80371 ,USD,1443 ,,
156,,,USD,1446 ,,
157,USD,61250 ,USD,1455 ,,
158,USD,255080 ,USD,1463 ,USD,12000000 
159,USD,24083 ,USD,1469 ,GBP,400000
160,USD,1469 ,USD,1469 ,,
161,USD,1469 ,USD,1469 ,,
162,,,USD,1471 ,,
163,USD,739865 ,USD,1477 ,,
164,USD,35842 ,USD,1481 ,,
165,USD,1485 ,USD,1485 ,,
166,USD,1500 ,USD,1500 ,USD,3000000 
167,USD,74509 ,USD,1505 ,,
168,USD,228225 ,USD,1512 ,,
169,USD,1323843 ,USD,1519 ,,
170,USD,1529 ,USD,1529 ,CAD,1500000
171,USD,1532 ,USD,1532 ,USD,135000 
172,,,USD,1540 ,,
173,USD,1554 ,USD,1554 ,,
174,USD,5938165 ,USD,1563 ,,
175,USD,1590 ,USD,1590 ,,
176,USD,1598 ,USD,1598 ,,
177,USD,1598 ,USD,1598 ,,
178,USD,2744414 ,USD,1601 ,EUR,1500000
179,USD,1605 ,USD,1605 ,DKK,6000000
180,USD,35718 ,USD,1605 ,,
181,USD,1605 ,USD,1605 ,,
182,USD,1610 ,USD,1610 ,USD,250000 
183,USD,1066493 ,USD,1623 ,,
184,USD,605403 ,USD,1624 ,GBP,5000000
185,USD,1625 ,USD,1625 ,,
186,USD,1631 ,USD,1631 ,,
187,USD,45778 ,USD,1632 ,CAD,1500000
188,USD,1650 ,USD,1650 ,,
189,USD,1117269 ,USD,1664 ,,
190,USD,1672 ,USD,1672 ,,
191,USD,1677 ,USD,1677 ,USD,1000000 
192,USD,20999 ,USD,1703 ,,
193,USD,1708 ,USD,1708 ,USD,150000 
194,USD,27765 ,USD,1708 ,,
195,USD,1749457 ,USD,1710 ,,
196,USD,1711 ,USD,1711 ,,
197,USD,1714 ,USD,1714 ,,
198,USD,977855 ,USD,1714 ,,
199,USD,1718 ,USD,1718 ,,
200,USD,7079175 ,USD,1737 ,,
201,USD,1739 ,USD,1739 ,,
202,,,USD,1742 ,,
203,USD,5891 ,USD,1743 ,,
204,USD,550108 ,USD,1750 ,EUR,3000000
205,USD,1777 ,USD,1777 ,USD,500000 
206,USD,1780 ,USD,1780 ,EUR,800000
207,USD,1785 ,USD,1785 ,USD,10000000 
208,USD,1788 ,USD,1788 ,,
209,USD,1794 ,USD,1794 ,,
210,USD,1802 ,USD,1802 ,,
211,USD,1808 ,USD,1808 ,,
212,USD,1810 ,USD,1810 ,,
213,USD,42440 ,USD,1870 ,,
214,USD,1910 ,USD,1910 ,,
215,USD,1915 ,USD,1915 ,USD,200000 
216,USD,25309 ,USD,1924 ,USD,10000000 
217,USD,1925 ,USD,1925 ,USD,2400000 
218,USD,515823 ,USD,1926 ,USD,12000000 
219,USD,1938 ,USD,1938 ,USD,1500000 
220,USD,1954 ,USD,1954 ,,
221,,,USD,1960 ,,
222,USD,1963 ,USD,1963 ,EUR,983081
223,USD,1967 ,USD,1967 ,USD,250000 
224,USD,1967 ,USD,1967 ,,
225,USD,1978 ,USD,1978 ,,
226,USD,55618 ,USD,1981 ,,
227,USD,1989 ,USD,1989 ,,
228,USD,1990 ,USD,1990 ,,
229,USD,176777 ,USD,1991 ,USD,1000000 
230,USD,2000 ,USD,2000 ,USD,2500000 
231,,,USD,2000 ,,
232,USD,2010 ,USD,2010 ,USD,2000000 
233,,,USD,2032 ,,
234,USD,18459 ,USD,2032 ,,
235,,,USD,2050 ,,
236,USD,2070 ,USD,2070 ,,
237,USD,2075 ,USD,2075 ,,
238,USD,2075 ,USD,2075 ,,
239,USD,2077 ,USD,2077 ,,
240,USD,208105 ,USD,2098 ,,
241,USD,90272 ,USD,2099 ,USD,4000000 
242,USD,2120 ,USD,2120 ,,
243,USD,569206 ,USD,2134 ,EUR,6000000
244,USD,6719 ,USD,2138 ,,
245,USD,2143 ,USD,2143 ,USD,4000000 
246,USD,2147 ,USD,2147 ,,
247,USD,8486 ,USD,2150 ,,
248,USD,5487261 ,USD,2150 ,,
249,,,USD,2151 ,,
250,USD,2152 ,USD,2152 ,,
251,USD,339461 ,USD,2167 ,,
252,,,USD,2197 ,,
253,USD,230862 ,USD,2201 ,,
254,USD,2216 ,USD,2216 ,USD,30000000 
255,USD,2219 ,USD,2219 ,,
256,USD,2240 ,USD,2240 ,,
257,USD,913792 ,USD,2241 ,,
258,USD,2242 ,USD,2242 ,,
259,USD,1306326 ,USD,2254 ,,
260,USD,2255 ,USD,2255 ,,
261,USD,68260 ,USD,2263 ,,
262,USD,2269 ,USD,2269 ,USD,15000000 
263,,,USD,2303 ,,
264,USD,2311 ,USD,2311 ,,
265,USD,2325 ,USD,2325 ,,
266,USD,10254 ,USD,2340 ,,
267,USD,2343 ,USD,2343 ,,
268,USD,2357 ,USD,2357 ,,
269,USD,2359 ,USD,2359 ,,
270,USD,62716 ,USD,2367 ,,
271,USD,2368 ,USD,2368 ,,
272,USD,763742 ,USD,2370 ,,
273,USD,2372 ,USD,2372 ,,
274,USD,1008116 ,USD,2377 ,USD,11000000 
275,USD,2404 ,USD,2404 ,,
276,USD,2418 ,USD,2418 ,,
277,USD,2421 ,USD,2421 ,USD,10000 
278,USD,83440 ,USD,2431 ,,
279,USD,2432 ,USD,2432 ,,
280,USD,2436 ,USD,2436 ,USD,2000000 
281,,,USD,2442 ,,
282,,,USD,2457 ,,
283,USD,2462 ,USD,2462 ,USD,3000000 
284,USD,3302463 ,USD,2463 ,,
285,USD,7697073 ,USD,2465 ,EUR,1000000
286,USD,2471 ,USD,2471 ,,
287,USD,2480 ,USD,2480 ,,
288,USD,1855647 ,USD,2488 ,,
289,USD,2502 ,USD,2502 ,,
290,USD,2509 ,USD,2509 ,USD,2500000 
291,USD,15220 ,USD,2521 ,USD,12000000 
292,USD,248749 ,USD,2528 ,,
293,USD,2537 ,USD,2537 ,,
294,USD,2540 ,USD,2540 ,,
295,USD,2543 ,USD,2543 ,,
296,USD,2544 ,USD,2544 ,,
297,,,USD,2550 ,,
298,USD,2554 ,USD,2554 ,USD,5000000 
299,,,USD,2554 ,,
300,USD,26011 ,USD,2560 ,USD,10000000 
301,USD,2562 ,USD,2562 ,,
302,,,USD,2567 ,,
303,USD,2571 ,USD,2571 ,,
304,USD,2572 ,USD,2572 ,,
305,USD,60752 ,USD,2578 ,,
306,USD,2583 ,USD,2583 ,,
307,USD,2591 ,USD,2591 ,,
308,USD,2592 ,USD,2592 ,,
309,USD,2592 ,USD,2592 ,,
310,USD,2598 ,USD,2598 ,USD,3000000 
311,USD,2602 ,USD,2602 ,,
312,USD,2609 ,USD,2609 ,,
313,USD,957744 ,USD,2616 ,,
314,USD,47527 ,USD,2618 ,USD,6000000 
315,USD,5980 ,USD,2630 ,,
316,USD,2631 ,USD,2631 ,,
317,USD,2634 ,USD,2634 ,,
318,USD,271735 ,USD,2638 ,MXN,12000000
319,USD,2640 ,USD,2640 ,,
320,USD,170922 ,USD,2651 ,,
321,USD,9318 ,USD,2659 ,,
322,USD,2664 ,USD,2664 ,,
323,,,USD,2670 ,,
324,USD,2684 ,USD,2684 ,,
